Employee_ID,Job_ID,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits,Year
1,1,167411.18,0,400184.25,Not Provided,567595.43,567595.43,2011
2,2,155966.02,245131.88,137811.38,Not Provided,538909.28,538909.28,2011
3,2,212739.13,106088.18,16452.6,Not Provided,335279.91,335279.91,2011
4,3,77916,56120.71,198306.9,Not Provided,332343.61,332343.61,2011
5,4,134401.6,9737,182234.59,Not Provided,326373.19,326373.19,2011
6,5,118602,8601,189082.74,Not Provided,316285.74,316285.74,2011
7,6,92492.01,89062.9,134426.14,Not Provided,315981.05,315981.05,2011
8,7,256576.96,0,51322.5,Not Provided,307899.46,307899.46,2011
9,6,176932.64,86362.68,40132.23,Not Provided,303427.55,303427.55,2011
10,8,285262,0,17115.73,Not Provided,302377.73,302377.73,2011
11,9,194999.39,71344.88,33149.9,Not Provided,299494.17,299494.17,2011
12,2,99722,87082.62,110804.3,Not Provided,297608.92,297608.92,2011
13,10,294580.02,0,0,Not Provided,294580.02,294580.02,2011
14,11,271329.03,0,21342.59,Not Provided,292671.62,292671.62,2011
15,6,174872.64,74050.3,37424.11,Not Provided,286347.05,286347.05,2011
16,12,198778.01,73478.2,13957.65,Not Provided,286213.86,286213.86,2011
17,11,268604.57,0,16115.86,Not Provided,284720.43,284720.43,2011
18,13,140546.87,119397.26,18625.08,Not Provided,278569.21,278569.21,2011
19,6,168692.63,69626.12,38115.47,Not Provided,276434.22,276434.22,2011
20,14,257510.59,880.16,16159.5,Not Provided,274550.25,274550.25,2011
21,14,257510.48,0,16679.79,Not Provided,274190.27,274190.27,2011
22,14,257510.44,377.21,15883.56,Not Provided,273771.21,273771.21,2011
23,15,140546.88,93200.58,39955.25,Not Provided,273702.71,273702.71,2011
24,6,168692.63,77896.14,24083.86,Not Provided,270672.63,270672.63,2011
25,15,140546.86,97868.77,31909.28,Not Provided,270324.91,270324.91,2011
26,16,256470.41,0,11522.18,Not Provided,267992.59,267992.59,2011
27,15,92080.8,40008,133695.76,Not Provided,265784.56,265784.56,2011
28,6,168692.59,80706.88,16063.99,Not Provided,265463.46,265463.46,2011
29,17,261717.6,0,2357,Not Provided,264074.6,264074.6,2011
30,4,246225.6,0,15140.54,Not Provided,261366.14,261366.14,2011
31,10,234325.02,0,25972.64,Not Provided,260297.66,260297.66,2011
32,17,254027.63,0,5899.48,Not Provided,259927.11,259927.11,2011
33,11,248895.7,0,10789.18,Not Provided,259684.88,259684.88,2011
34,18,104861.39,50227.61,103499.39,Not Provided,258588.39,258588.39,2011
35,6,177781.25,59924.97,20658,Not Provided,258364.22,258364.22,2011
36,19,101953.2,139102.95,16483.94,Not Provided,257540.09,257540.09,2011
37,20,245124.44,0,12000,Not Provided,257124.44,257124.44,2011
38,18,110661.2,31162.04,111446.2,Not Provided,253269.44,253269.44,2011
39,21,132202.26,52648.92,67083.83,Not Provided,251935.01,251935.01,2011
40,6,147158.85,64985.85,39540.46,Not Provided,251685.16,251685.16,2011
41,6,168692.66,60847.56,21055.17,Not Provided,250595.39,250595.39,2011
42,6,168692.63,59760.9,21954.96,Not Provided,250408.49,250408.49,2011
43,4,218930.76,4078,27330.59,Not Provided,250339.35,250339.35,2011
41,22,123013.02,111729.65,15575.26,Not Provided,250317.93,250317.93,2011
44,23,196081.86,0,54040.18,Not Provided,250122.04,250122.04,2011
45,24,249375.02,0,0,Not Provided,249375.02,249375.02,2011
46,6,168692.64,66199.23,14401.43,Not Provided,249293.3,249293.3,2011
47,11,248895.77,0,0,Not Provided,248895.77,248895.77,2011
48,17,233867.6,0,14851.04,Not Provided,248718.64,248718.64,2011
49,25,137729.92,89856.01,20848.46,Not Provided,248434.39,248434.39,2011
50,6,168692.59,58084.86,20477.16,Not Provided,247254.61,247254.61,2011
51,11,246305.62,0,0,Not Provided,246305.62,246305.62,2011
52,15,140546.87,77937.25,26203.69,Not Provided,244687.81,244687.81,2011
53,15,140546.88,73207.61,28988.36,Not Provided,242742.85,242742.85,2011
54,13,140546.89,82428.76,18310.77,Not Provided,241286.42,241286.42,2011
55,17,226206.8,0,15004.37,Not Provided,241211.17,241211.17,2011
56,11,240731.93,0,114.37,Not Provided,240846.3,240846.3,2011
57,5,217410.8,0,22608.3,Not Provided,240019.1,240019.1,2011
58,26,115381.02,105028.94,19016.4,Not Provided,239426.36,239426.36,2011
59,27,214745.44,9161.31,14972.45,Not Provided,238879.2,238879.2,2011
60,25,123105,99584.94,16113.62,Not Provided,238803.56,238803.56,2011
61,2,102571.24,7437,128543.64,Not Provided,238551.88,238551.88,2011
62,13,140546.86,80411.9,17542.29,Not Provided,238501.05,238501.05,2011
63,6,168692.62,54342.28,15444.38,Not Provided,238479.28,238479.28,2011
64,21,148970.43,66977.63,21889.67,Not Provided,237837.73,237837.73,2011
65,2,185369.69,37873.61,14465.53,Not Provided,237708.83,237708.83,2011
66,9,177914.76,36644.57,22785.08,Not Provided,237344.41,237344.41,2011
67,15,139167.39,66596.28,31070.15,Not Provided,236833.82,236833.82,2011
68,17,122974,0,113226.92,Not Provided,236200.92,236200.92,2011
69,26,115455.44,104632.95,14776.81,Not Provided,234865.2,234865.2,2011
70,28,220983.12,0,13864.99,Not Provided,234848.11,234848.11,2011
71,6,92782.61,5477.62,135684.25,Not Provided,233944.48,233944.48,2011
72,29,95770.8,118949.93,18743.9,Not Provided,233464.63,233464.63,2011
73,30,233357.28,0,0,Not Provided,233357.28,233357.28,2011
74,18,130457.88,51864.26,50380.44,Not Provided,232702.58,232702.58,2011
75,18,85578.61,42878.01,104030.1,Not Provided,232486.72,232486.72,2011
76,6,174872.64,16876.74,40258.39,Not Provided,232007.77,232007.77,2011
77,31,73754.05,18679.06,139279.69,Not Provided,231712.8,231712.8,2011
78,15,140546.88,62283.7,28821.55,Not Provided,231652.13,231652.13,2011
79,6,168692.62,35096.74,27802.89,Not Provided,231592.25,231592.25,2011
80,32,172529.08,0,58776.96,Not Provided,231306.04,231306.04,2011
81,25,122272.69,90593.53,18238.75,Not Provided,231104.97,231104.97,2011
82,6,168692.62,41158.72,21055.17,Not Provided,230906.51,230906.51,2011
83,1,230827.12,0,0,Not Provided,230827.12,230827.12,2011
84,13,217410.8,0,13216.41,Not Provided,230627.21,230627.21,2011
85,33,122404.98,92767.41,15371.07,Not Provided,230543.46,230543.46,2011
86,6,150464.82,49813.69,30180.49,Not Provided,230459,230459,2011
87,34,96814.36,0,133563.47,Not Provided,230377.83,230377.83,2011
88,35,88062,135159.38,7018.6,Not Provided,230239.98,230239.98,2011
89,36,138878.82,31843.34,59427.12,Not Provided,230149.28,230149.28,2011
90,6,188842.37,21453.59,18764.67,Not Provided,229060.63,229060.63,2011
91,2,102722.4,7437,118456.21,Not Provided,228615.61,228615.61,2011
92,15,149362.84,51847.45,27303.11,Not Provided,228513.4,228513.4,2011
93,2,215914.03,0,12293.83,Not Provided,228207.86,228207.86,2011
94,6,168692.62,33191.6,25434.68,Not Provided,227318.9,227318.9,2011
95,37,215180.76,0,12000,Not Provided,227180.76,227180.76,2011
96,27,208925.6,5539.3,12615.6,Not Provided,227080.5,227080.5,2011
97,6,168692.67,35402.71,22261.95,Not Provided,226357.33,226357.33,2011
98,33,122404.98,86719.38,15315.61,Not Provided,224439.97,224439.97,2011
99,38,224035.85,0,0,Not Provided,224035.85,224035.85,2011
100,6,168692.65,33656.87,21502.83,Not Provided,223852.35,223852.35,2011
101,25,123105,84547.16,16054.24,Not Provided,223706.4,223706.4,2011
102,22,105934.69,98534.35,18890.96,Not Provided,223360,223360,2011
103,35,88400.7,126778.88,7228.67,Not Provided,222408.25,222408.25,2011
104,22,105934.64,97395.59,18760.77,Not Provided,222091,222091,2011
105,22,110474.93,83670.04,27043.61,Not Provided,221188.58,221188.58,2011
106,6,149362.86,35003.5,36682.96,Not Provided,221049.32,221049.32,2011
107,39,188708,0,32080.36,Not Provided,220788.36,220788.36,2011
108,39,188708,0,32080.36,Not Provided,220788.36,220788.36,2011
109,22,105934.67,96154.33,18655.85,Not Provided,220744.85,220744.85,2011
110,27,206057.69,3431.01,10921.33,Not Provided,220410.03,220410.03,2011
111,40,63811.18,57966.33,98578.97,Not Provided,220356.48,220356.48,2011
112,38,220115.22,0,237,Not Provided,220352.22,220352.22,2011
113,39,188708,0,31572.3,Not Provided,220280.3,220280.3,2011
114,35,88400.7,119951.72,11893.84,Not Provided,220246.26,220246.26,2011
115,41,121628.34,89920.21,8383.77,Not Provided,219932.32,219932.32,2011
116,42,219804.34,0,0,Not Provided,219804.34,219804.34,2011
117,43,191054.19,0,28658.16,Not Provided,219712.35,219712.35,2011
118,6,150432.85,42365.89,25995.01,Not Provided,218793.75,218793.75,2011
119,39,179648,0,39029.76,Not Provided,218677.76,218677.76,2011
120,15,140546.88,52095.06,25564.1,Not Provided,218206.04,218206.04,2011
121,27,203658.55,4759.36,9561.44,Not Provided,217979.35,217979.35,2011
